location_id,state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,block_code,block_name,localbody_code,localbody_name,village_code,village_name,village_status,census_2011_code
MED-WB-VIL-008348,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318200,Panditpur,Inhabitant,318200.0
MED-WB-VIL-008349,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108769,JASHPUR,318261,Paratpur,Inhabitant,318261.0
MED-WB-VIL-008350,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108773,PARULIA,318076,Parulia,Inhabitant,318076.0
MED-WB-VIL-008351,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108767,GOHALIARA,318183,Parulnalbona,Un-Inhabitant,318183.0
MED-WB-VIL-008352,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108765,BALIJURI,318150,Paschim Bankati,Inhabitant,318150.0
MED-WB-VIL-008353,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108765,BALIJURI,318147,Patalapur,Un-Inhabitant,318147.0
MED-WB-VIL-008354,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108765,BALIJURI,318146,Pippur,Un-Inhabitant,318146.0
MED-WB-VIL-008355,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108774,SAHAPUR,318106,Pirijpur,Inhabitant,318106.0
MED-WB-VIL-008356,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108765,BALIJURI,318145,Pirojpur,Inhabitant,318145.0
MED-WB-VIL-008357,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318133,Pratappur,Inhabitant,318133.0
MED-WB-VIL-008358,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318134,Punglapur,Inhabitant,318134.0
MED-WB-VIL-008359,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108774,SAHAPUR,318121,Purba Pratappur,Un-Inhabitant,318121.0
MED-WB-VIL-008360,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108766,CHINPAI,318090,Radhamadhabpur,Inhabitant,318090.0
MED-WB-VIL-008361,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108766,CHINPAI,318103,Raghunathpur,Un-Inhabitant,318103.0
MED-WB-VIL-008362,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108773,PARULIA,318072,Rajganja,Inhabitant,318072.0
MED-WB-VIL-008363,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108768,HETAMPUR,318211,Rakhdihi,Un-Inhabitant,318211.0
MED-WB-VIL-008364,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108774,SAHAPUR,318117,Ramchandrapur,Inhabitant,318117.0
MED-WB-VIL-008365,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318163,Rampur,Inhabitant,318163.0
MED-WB-VIL-008366,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108768,HETAMPUR,318220,Rasulpur,Inhabitant,318220.0
MED-WB-VIL-008367,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318160,Rautandihi,Inhabitant,318160.0
MED-WB-VIL-008368,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108773,PARULIA,318079,Rautara,Inhabitant,318079.0
MED-WB-VIL-008369,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108769,JASHPUR,318246,Rengna,Inhabitant,318246.0
